iter	Passed	Remaining
169	8973	12141
170	9023	12084
171	9070	12023
172	9118	11965
173	9168	11908
174	9218	11852
175	9267	11795
176	9315	11736
177	9364	11679
178	9414	11623
179	9467	11571
180	9516	11514
181	9566	11458
182	9615	11402
183	9667	11349
184	9720	11296
185	9774	11245
186	9823	11189
187	9872	11132
188	9922	11077
189	9974	11024
190	10026	10971
191	10079	10919
192	10132	10867
193	10182	10812
194	10236	10761
195	10283	10703
196	10334	10649
197	10382	10592
198	10431	10536
199	10480	10480
200	10530	10425
201	10581	10371
202	10630	10316
203	10679	10260
204	10727	10204
205	10776	10148
206	10824	10092
207	10872	10035
208	10920	9979
209	10973	9928
210	11020	9871
211	11069	9816
212	11117	9760
213	11169	9707
214	11216	9651
215	11269	9600
216	11322	9548
217	11369	9491
218	11421	9439
219	11468	9383
220	11515	9327
221	11562	9270
222	11609	9214
223	11662	9163
224	11709	9107
225	11763	9057
226	11816	9005
227	11863	8949
228	11917	8898
229	11969	8847
230	12017	8791
231	12070	8740
232	12123	8689
233	12174	8636
234	12222	8581
235	12270	8526
236	12323	8475
237	12373	8422
238	12421	8367
239	12469	8312
240	12516	8257
241	12564	8203
242	12611	8148
243	12659	8094
244	12709	8040
245	12757	7986
246	12807	7933
247	12860	7882
248	12908	7827
249	12957	7774
250	13003	7719
251	13060	7670
252	13112	7618
253	13159	7564
254	13208	7510
255	13255	7456
256	13303	7402
257	13357	7351
258	13404	7297
259	13450	7242
260	13500	7190
261	13548	7136
262	13601	7085
263	13651	7032
264	13699	6979
265	13753	6928
266	13806	6877
267	13859	6826
268	13907	6772
269	13953	6718
270	14006	6667
271	14058	6615
272	14110	6564
273	14159	6511
274	14207	6458
275	14261	6407
276	14307	6352
277	14355	6299
278	14402	6246
279	14452	6193
280	14499	6140
281	14545	6086
282	14596	6034
283	14644	5981
284	14689	5927
285	14735	5873
286	14784	5820
287	14835	5769
288	14882	5716
289	14930	5663
290	14978	5610
291	15025	5557
292	15074	5504
293	15121	5451
294	15167	5398
295	15212	5344
296	15260	5292
297	15307	5239
298	15353	5186
299	15400	5133
300	15448	5081
301	15497	5028
302	15545	4976
303	15594	4924
304	15642	4872
305	15691	4820
306	15738	4767
307	15790	4716
308	15836	4663
309	15889	4613
310	15938	4561
311	15987	4509
312	16038	4458
313	16085	4405
314	16134	4353
315	16183	4301
316	16229	4249
317	16279	4197
318	16328	4146
319	16378	4094
320	16423	4041
321	16472	3990
322	16520	3938
323	16572	3887
324	16620	3835
325	16670	3784
326	16719	3732
327	16772	3681
328	16821	3630
329	16871	3578
330	16918	3526
331	16967	3475
332	17016	3423
333	17070	3373
334	17123	3322
335	17172	3270
336	17219	3219
337	17268	3167
338	17317	3116
339	17366	3064
340	17419	3014
341	17470	2962
342	17516	2910
343	17569	2860
344	17622	2809
345	17673	2758
346	17726	2707
347	17775	2656
348	17827	2605
349	17875	2553
350	17928	2502
351	17976	2451
352	18021	2399
353	18072	2348
354	18120	2297
355	18171	2245
356	18223	2194
357	18269	2143
358	18314	2091
359	18363	2040
360	18411	1989
361	18460	1937
362	18506	1886
363	18553	1834
364	18598	1783
365	18645	1732
366	18693	1680
367	18741	1629
368	18789	1578
369	18839	1527
370	18887	1476
371	18935	1425
372	18992	1374
373	19036	1323
374	19085	1272
375	19133	1221
376	19181	1170
377	19230	1119
378	19280	1068
379	19328	1017
380	19377	966
381	19426	915
382	19475	864
383	19526	813
384	19574	762
385	19623	711
386	19674	660
387	19723	609
388	19776	559
389	19829	508
390	19882	457
391	19929	406
392	19976	355
393	20024	304
394	20078	254
395	20127	203
396	20179	152
397	20228	101
398	20276	50
399	20324	0
