iter	Logloss
0	0.2632964123
1	0.1712094284
2	0.1307203937
3	0.1115698259
4	0.09804892294
5	0.08847146405
6	0.08280690554
7	0.07517639281
8	0.07051364608
9	0.0661870365
10	0.06120763132
11	0.05723510662
12	0.05348513722
13	0.04973696846
14	0.04674978592
15	0.04410851393
16	0.04189322091
17	0.03991009306
18	0.03739701994
19	0.03529197645
20	0.03352459342
21	0.03143773505
22	0.02960099871
23	0.02810537047
24	0.02616151934
25	0.02527678449
26	0.02451119778
27	0.02333786495
28	0.02235986993
29	0.02118040239
30	0.02042644561
31	0.01963693183
32	0.0189808667
33	0.01834049692
34	0.01742091111
35	0.01646946548
36	0.01592101174
37	0.01538172328
38	0.01475945332
39	0.0144909257
40	0.01413122235
41	0.01377937482
42	0.01358354347
43	0.01315942333
44	0.01255696513
45	0.01212808786
46	0.01162938386
47	0.01129276465
48	0.01102211757
49	0.01056071756
50	0.01022263863
51	0.009846282004
52	0.009443908319
53	0.009179282768
54	0.008869636595
55	0.008692721354
56	0.008545994046
57	0.008282385166
58	0.007952911054
59	0.007771270678
60	0.007495858648
61	0.007225232609
62	0.007165149187
63	0.007058184723
64	0.006844379361
65	0.006692528049
66	0.006417114114
67	0.00630191404
68	0.006092532577
69	0.00597552375
70	0.005842552337
71	0.005707523826
72	0.005601613886
73	0.005442653119
74	0.005277650856
75	0.005104114974
76	0.00500210198
77	0.004955479531
78	0.004853494662
79	0.004789846355
80	0.004591718132
81	0.004520193184
82	0.004437801707
83	0.004344440971
84	0.004319070155
85	0.004281402001
86	0.004168431662
87	0.004005697081
88	0.003923167257
89	0.003829350016
90	0.003737363633
91	0.003696448879
92	0.003647504723
93	0.003559205316
94	0.00348897434
95	0.003426868832
96	0.003365797342
97	0.003245102183
98	0.003173908148
99	0.003173901307
100	0.003173889683
101	0.003173875125
102	0.003173853492
103	0.003173792725
104	0.003173870144
105	0.003173817278
106	0.003173817752
107	0.003173771412
108	0.003173771412
109	0.003173771412
110	0.003173771412
111	0.003173771412
112	0.003173771412
113	0.003173771412
114	0.003173771412
115	0.003173771412
116	0.003136506497
117	0.003075581174
118	0.003035748163
119	0.00298188153
120	0.002932419533
121	0.002888751748
122	0.002845464063
123	0.002779351355
124	0.002751746013
125	0.002751655162
126	0.002718205924
127	0.002718205924
128	0.002684609643
129	0.002629543267
130	0.002629543267
131	0.002592730193
132	0.002592711961
133	0.002592533063
134	0.002592383344
135	0.002592176614
136	0.002592132691
137	0.002592072165
138	0.002591723423
139	0.002591627752
140	0.002591484762
141	0.002556505272
142	0.002497475039
143	0.002497454036
144	0.002473012595
145	0.002439949187
146	0.002439949187
147	0.002411290165
148	0.002386646509
149	0.002340315571
150	0.002318217129
151	0.002267897067
152	0.002231479315
153	0.002231479315
154	0.00223141821
155	0.002231405911
156	0.002231405911
157	0.002231396454
158	0.002231396454
159	0.00220239023
160	0.002202310796
161	0.002202298031
162	0.002202342754
163	0.002202264957
164	0.002202306056
165	0.002202271498
166	0.002202228877
167	0.002202208276
168	0.002202197682
169	0.002202202112
170	0.002202149504
171	0.002189993711
172	0.00218993777
